TSR|monsterKey|setting|mainTitle|title|name|Diet|Frequency|Hit Dice|Intelligence|Magic Resistance|Morale|Movement|No. Appearing|No. of Attacks|Organization|Size|Special Attacks|Special Defenses|THAC0|Treasure|XP Value|Alignment|Armor Class|Climate/Terrain|Damage/Attack
['2153']|akikage|Ravenloft|Akikage|Akikage|Akikage|None|Very rare|6+3|High (13-14)|Nil|Fanatic (17-18)|12|1|4|Solitary|M (6' tall)|Death blow|+2 or better weapon to hit; spell immunity|13|Nil|3,000|Lawful evil|1|Rokushima|1d6 (&times;4)
['2153']|animatco|Ravenloft|Animator, Common|Animator, Common|Animator, Common|Karmic resonances|Very rare|Varies|Exceptional (15-16)|Nil|Average (8-10)|12|1|1|Solitary|M to L (4-12' tall)|Varies|Varies|Varies|Nil|Varies|Chaotic evil|Varies|Ravenloft|1d8
['2153']|animatgr|Ravenloft|Animator, Greater|Animator, Greater|Animator, Greater|Karmic resonances|Very rare|Varies|Exceptional (15-16)|Nil|Average (8-10)|Nil (with exceptions)|1|1|Solitary|L+ (12' tall or larger)|Spell ability|Spell immunity|Varies|Nil|Varies|Chaotic evil|Varies|Ravenloft|1d12
['2153']|animatmi|Ravenloft|Animator, Minor|Animator, Minor|Animator, Minor|Karmic resonances|Very rare|Varies|Exceptional (15-16)|Nil|Average (8-10)|9|1|1|Solitary|T to S (1&rdquo; to 4')|Nil|Spell immunity|Varies|Nil|Varies|Chaotic evil|Varies|Ravenloft|1d4
['2153']|bakhnara|Ravenloft|Bakhna Rakhna|Bakhna Rakhna|Bakhna Rakhna|Omnivore|Uncommon|1|Low (5-7)|Nil|Average (8-10)|6|4-24 (4d6)|1|Tribal|S (3' tall)|Poison weapons|Nil|19|C (K)|175|Neutral evil|7|Temperate woodlands|1d4 (by weapon)
['2153']|baobhans|Ravenloft|Baobhan Sith|Baobhan Sith|Baobhan Sith|Omnivore|Rare|1|Average to very (8-12)|25%|Average (8-10)|6, Fl 12 (B)|5-30 (5d6)|1|Band|S (2' tall)|Laughter|See below|19|(X)|270|Chaotic evil|6|Temperate forest|1d4 (by weapon)
['2153']|beetlesc|Ravenloft|Beetle, Scarab|Beetle, Scarab|Giant|Scavenger|Rare|6 per swarm|Non- (0)|Nil|Elite (13-14)|6, Br 3|1d6 swarms|1|Swarm|T (6&rdquo; long)|Disease|Nil|15|(Z)|975|Neutral|4|Temperate lands &amp; subterranean|Special
['2153']|beetlesc|Ravenloft|Beetle, Scarab|Beetle, Scarab|Grave|Scavenger|Common|5 per swarm|Non- (0)|Nil|Elite (13-14)|6, Br 3|1d4 swarms|1|Swarm|T (3&rdquo; long)|Nil|Nil|15|(Z)|420|Neutral|4|Temperate lands &amp; subterranean|Special
['2153']|beetlesc|Ravenloft|Beetle, Scarab|Beetle, Scarab|Monstrous|Scavenger|Rare|8|Non- (0)|Nil|Elite (13-14)|9, Br 3|1d6|1|Solitary|L (11' long)|Nil|Nil|13|(C,R,S,T)|1,400|Neutral|2|Temperate lands &amp; subterranean|4d6
['2153']|boneless|Ravenloft|Boneless|Boneless|Boneless|None|Very rare|3|Non- (0)|Nil|Fearless (19-20)|6, 12 on all fours|3-30 (3d10)|2|None|M (6' tall)|Constriction|Spell immunity|17|Nil|270|Neutral|8|Darkon or Hazlan|1d4/1d4
